InputSize,Algorithm,DataStructure,AverageTimeNs
100,Insertion Sort,ArrayList,1516450.0
100,Insertion Sort,LinkedList,7296883.333333333
100,Bubble Sort,ArrayList,2363600.0
100,Bubble Sort,LinkedList,1486560.0
100,Merge Sort,ArrayList,1668083.3333333333
100,Merge Sort,LinkedList,140036.66666666666
100,Built-in Sort,ArrayList,95720.0
200,Insertion Sort,ArrayList,446543.3333333333
200,Insertion Sort,LinkedList,3744303.3333333335
200,Bubble Sort,ArrayList,4410520.0
200,Bubble Sort,LinkedList,7314253.333333333
200,Merge Sort,ArrayList,31130.0
200,Merge Sort,LinkedList,3764693.3333333335
200,Built-in Sort,ArrayList,226786.66666666666
400,Insertion Sort,ArrayList,829173.3333333334
400,Insertion Sort,LinkedList,2.8437326666666668E7
400,Bubble Sort,ArrayList,1663333.3333333333
400,Bubble Sort,LinkedList,5.7867556666666664E7
400,Merge Sort,ArrayList,1068733.3333333333
400,Merge Sort,LinkedList,2004833.3333333333
400,Built-in Sort,ArrayList,107346.66666666667
600,Insertion Sort,ArrayList,2439580.0
600,Insertion Sort,LinkedList,1.0818448333333333E8
600,Bubble Sort,ArrayList,3797956.6666666665
600,Bubble Sort,LinkedList,1.7777829E8
600,Merge Sort,ArrayList,98953.33333333333
600,Merge Sort,LinkedList,1929746.6666666667
600,Built-in Sort,ArrayList,257940.0
800,Insertion Sort,ArrayList,3343210.0
800,Insertion Sort,LinkedList,2.1157427666666666E8
800,Bubble Sort,ArrayList,6613813.333333333
800,Bubble Sort,LinkedList,5.073860833333333E8
800,Merge Sort,ArrayList,163046.66666666666
800,Merge Sort,LinkedList,3532270.0
800,Built-in Sort,ArrayList,41410.0
1000,Insertion Sort,ArrayList,6624180.0
1000,Insertion Sort,LinkedList,4.977856366666667E8
1000,Bubble Sort,ArrayList,1.0616643333333334E7
1000,Bubble Sort,LinkedList,8.611144966666666E8
1000,Merge Sort,ArrayList,192150.0
1000,Merge Sort,LinkedList,5857516.666666667
1000,Built-in Sort,ArrayList,28063.333333333332
1200,Insertion Sort,ArrayList,9123180.0
1200,Insertion Sort,LinkedList,7.1458202E8
1200,Bubble Sort,ArrayList,1.5356093333333334E7
1200,Bubble Sort,LinkedList,1.42615391E9
1200,Merge Sort,ArrayList,262163.3333333333
1200,Merge Sort,LinkedList,8814513.333333334
1200,Built-in Sort,ArrayList,32803.333333333336
1400,Insertion Sort,ArrayList,1.1381646666666666E7
1400,Insertion Sort,LinkedList,1.1574745166666667E9
1400,Bubble Sort,ArrayList,2.089726E7
1400,Bubble Sort,LinkedList,2.2777292833333335E9
1400,Merge Sort,ArrayList,271880.0
1400,Merge Sort,LinkedList,1.2732243333333334E7
1400,Built-in Sort,ArrayList,55783.333333333336
1600,Insertion Sort,ArrayList,1.4746126666666666E7
1600,Insertion Sort,LinkedList,1.72193005E9
1600,Bubble Sort,ArrayList,2.9208936666666668E7
1600,Bubble Sort,LinkedList,3.40734785E9
1600,Merge Sort,ArrayList,337646.6666666667
1600,Merge Sort,LinkedList,1.6136656666666666E7
1600,Built-in Sort,ArrayList,34140.0
1697,Insertion Sort,ArrayList,1.6880146666666668E7
1697,Insertion Sort,LinkedList,2.0340528566666667E9
1697,Bubble Sort,ArrayList,3.068085E7
1697,Bubble Sort,LinkedList,4.1405568233333335E9
1697,Merge Sort,ArrayList,313130.0
1697,Merge Sort,LinkedList,1.81184E7
1697,Built-in Sort,ArrayList,33856.666666666664
